education_key,Country Code,Year,public_spending_percent_of_gdp,literacy_rate_adult_total,literacy_rate_adult_male,literacy_rate_adult_female,primary_school_enrollment_percent_of_gross,primary_school_enrollment_percent_of_net,primary_completion_rate,primary_completion_male,primary_completion_female,secondary_school_enrollment_percent_of_gross,secondary_school_enrollment_percent_of_net,tertiary_school_enrollment_percent_of_gross
110,MEX,2017,4.51821994781494,94.9727783203125,95.8723678588867,94.1657562255859,105.770011901855,95.30064,104.097839355469,103.883277893066,104.32096862793,104.385032653809,81.15596,40.2289581298828
111,IND,2017,,,,,112.957862854004,,94.3737487792969,92.6502914428711,96.2924880981445,73.4768829345703,,27.4421291351318
112,IDN,2017,2.6699800491333,,,,105.911430358887,94.09782,100.82592010498,101.421546936035,100.193817138672,87.0592193603516,,36.4444389343262
113,IRN,2017,3.79040002822876,,,,110.707542419434,99.70291,99.4387893676758,99.7702865600586,99.0899505615234,86.3114929199219,81.37533,68.1160888671875
114,EGY,2017,,71.1682510375977,76.4952163696289,65.5056915283203,106.13346862793,97.02531,97.1895523071289,96.7782135009766,97.626106262207,86.7144470214844,81.65996,35.1645202636719
115,KEN,2017,5.36668014526367,,,,,,,,,,,11.4647102355957
116,NGA,2017,,,,,,,,,,,,
117,CAN,2018,,,,,101.501091003418,,,,,114.123512268066,,70.1130218505859
118,USA,2018,,,,,101.256561279297,,100.092697143555,104.510192871094,95.4763412475586,99.2755813598633,,88.2991790771484
119,MEX,2018,4.25442981719971,95.3799133300781,96.2329025268555,94.6080474853516,105.02806854248,,102.255889892578,101.897537231445,102.629280090332,105.103363037109,,41.5228004455566
120,IND,2018,,74.3729934692383,82.3667068481445,65.7908096313477,,,,,,74.379508972168,,28.0605506896973
121,IDN,2018,3,95.658561706543,97.3313369750977,93.9921798706055,106.410820007324,93.4963,102.334838867188,102.990280151367,101.639442443848,88.9101715087891,78.73112,36.3110389709473
122,IRN,2018,3.9553599357605,,,,,,,,,,,62.7850799560547
123,EGY,2018,,,,,106.284927368164,97.03257,100.685211181641,99.7918701171875,101.633239746094,87.9111404418945,82.77635,38.9049491882324
124,KEN,2018,5.30625009536743,81.5349731445313,84.9888305664063,78.1889266967773,,,,,,,,
125,NGA,2018,,62.0160102844238,71.2557067871094,52.6564788818359,87.454231262207,,,,,43.5111389160156,,
126,CAN,2019,,,,,100.989753723145,,,,,114.333267211914,,75.6988220214844
127,USA,2019,,,,,100.981300354004,,100.489051818848,97.7526397705078,103.343627929688,100.063430786133,,87.8887100219727
128,MEX,2019,,,,,104.655822753906,,102.465538024902,101.713859558105,103.250343322754,104.647239685059,,42.8306999206543
129,IND,2019,,,,,96.8286819458008,,91.661491394043,90.2147674560547,93.2624816894531,73.79296875,,28.5729007720947
130,IDN,2019,2.84185004234314,,,,,,,,,,,
131,IRN,2019,3.66319990158081,,,,,,,,,,,60.3941917419434
132,EGY,2019,,,,,106.409561157227,,104.609298706055,103.83145904541,105.434577941895,89.4806823730469,,
133,KEN,2019,4.97439002990723,,,,,,,,,,,10.0383996963501
134,NGA,2019,,,,,,,,,,,,
135,CAN,2020,,,,,,,,,,,,
136,USA,2020,,,,,,,,,,,,
137,MEX,2020,,95.2478485107422,96.0587463378906,94.4951324462891,,,,,,,,
138,IND,2020,,,,,99.9004592895508,,94.5591278076172,93.1959686279297,96.0651779174805,75.4811935424805,,29.4413299560547
139,IDN,2020,,95.9990081787109,97.4493103027344,94.5523529052734,,,,,,,,
140,IRN,2020,,,,,,,,,,,,58.2224884033203
141,EGY,2020,,,,,,,,,,,,
142,KEN,2020,5.07996988296509,,,,,,,,,,,
143,NGA,2020,,,,,,,,,,,,
