life_quality_key,Country Code,Year,basic_drinking_water_rate,basic_drinking_water_rate_rural,basic_drinking_water_rate_urban,safe_drinking_water_rate,safe_drinking_water_rate_rural,safe_drinking_water_rate_urban,basic_handwashing_facilities_rate,basic_handwashing_facilities_rate_rural,basic_handwashing_facilities_rate_urban,open_defecation_rate,open_defecation_rate_rural,open_defecation_rate_urban
71,NGA,2012,63.51020996,48.70015493,81.43245078,18.72015588,14.48521835,23.84502342,32.13890107,25.00286057,40.7745095,21.81285753,31.17411525,10.4844246
72,CAN,2013,99.23268617,98.69404467,99.35757945,98.70725106,,,,,,0,0,0
73,USA,2013,99.26337949,97.02385099,99.77853394,96.03857024,,96.79493469,,,,0,0,0
74,MEX,2013,97.15725463,91.26654406,98.75165915,41.93753836,,,89.70633655,83.50700895,91.38427265,3.132406947,9.573515339,1.389029436
75,IND,2013,87.16750039,84.28478171,93.29243954,,47.63862251,,67.1380113,60.0113582,82.28006598,35.05112452,46.84627483,9.989889072
76,IDN,2013,86.91591354,78.62409415,94.58371151,,,,78.71796572,69.40841825,87.32690012,14.54837767,23.27989718,6.473970302
77,IRN,2013,96.51144689,91.49600955,98.43347053,92.91357349,85.00842385,95.94299713,,,,0.42256919,1.43,0.0365
78,EGY,2013,98.94469919,98.54420862,99.47790541,,,,85.38212053,80.775025,91.51592789,0.276837318,0.484769503,0
79,KEN,2013,56.79390352,46.85390486,86.94424561,,,58.68868002,26.46070513,24.1740417,33.39669159,11.645088,14.84833412,1.928895478
80,NGA,2013,65.26402706,50.28865608,82.76051158,19.10647338,14.88593658,24.03754032,32.27642995,25.00286057,40.7745095,21.41605195,30.98786764,10.2328148
81,CAN,2014,99.23098502,98.75511987,99.34102915,98.76270793,,,,,,0,0,0
82,USA,2014,99.35588121,97.40198475,99.79990687,96.22654489,,96.89088663,,,,0,0,0
83,MEX,2014,97.5936259,92.27661905,99.00760603,42.12589627,,,89.72949429,83.50700895,91.38427265,2.69042959,8.277381608,1.204663665
84,IND,2014,87.65476481,84.92860657,93.3468261,,49.18452373,,67.22285792,60.0113582,82.28006598,32.13366505,43.35511813,8.703888492
85,IDN,2014,87.72586319,79.62786961,95.01305646,,,,81.35312153,73.08325567,88.79497861,13.29543384,21.54766908,5.869442138
86,IRN,2014,96.66106245,91.8292561,98.4636157,93.07759795,85.31804133,95.9723796,,,,0.415113999,1.43,0.0365
87,EGY,2014,99.0256283,98.67300833,99.49613677,,,,86.86213963,83.06897995,91.92343465,0.191124016,0.334360857,0
88,KEN,2014,57.49730086,47.56411412,86.94870169,,,58.48602621,26.50008621,24.1740417,33.39669159,11.18901255,14.34199426,1.840579787
89,NGA,2014,67.02050605,51.88608743,84.09931409,19.48767868,15.28521081,24.23005722,32.4126969,25.00286057,40.7745095,21.01977234,30.80162004,9.981205005
90,CAN,2015,99.22922139,98.81619508,99.32447885,98.81806216,,,,,,0,0,0
91,USA,2015,99.44715776,97.78011851,99.82127981,96.41326821,,96.98687079,,,,0,0,0
92,MEX,2015,98.02544354,93.28669403,99.2635529,42.31228861,,,89.75249473,83.50700895,91.38427265,2.255108509,6.981247876,1.020297894
93,IND,2015,88.13813263,85.57200035,93.40106461,,50.74885582,,67.31037222,60.0113582,82.28006598,29.22911238,39.86396143,7.417887912
94,IDN,2015,88.52735296,80.63079119,95.44249176,,,,83.95799441,76.75809309,90.2630571,12.05811867,19.81544098,5.264913974
95,IRN,2015,96.80698708,92.16250265,98.49376087,93.23789351,85.62765881,96.00176206,,,,0.407756265,1.43,0.0365
96,EGY,2015,99.10671754,98.80187792,99.51436973,,,,88.34419643,85.3629349,92.33094141,0.105248259,0.183952212,0
97,KEN,2015,58.19692798,48.27216191,86.95314792,,,58.28325681,26.54038864,24.1740417,33.39669159,10.73529794,13.8356544,1.752264096
98,NGA,2015,68.77975546,53.492449,85.44885832,19.8638587,15.68304104,24.42257412,32.54770168,25.00286057,40.7745095,20.62403473,30.61537243,9.729595208
99,CAN,2016,99.22739547,98.87727028,99.30792856,98.87330686,,,,,,0,0,0
100,USA,2016,99.53713865,98.15825228,99.84265274,96.59863984,,97.08288716,,,,0,0,0
101,MEX,2016,98.45286453,94.29676901,99.51949977,42.49678317,,,89.77550185,83.50700895,91.38427265,1.826280678,5.685114145,0.835932124
102,IND,2016,88.61740577,86.21496306,93.45515505,,52.33161878,,67.40056273,60.0113582,82.28006598,26.3382637,36.37280473,6.131887333
103,IDN,2016,89.32043532,81.6328589,95.87201741,,,,86.53271571,80.43293051,91.7311356,10.83636264,18.08321288,4.660385809
104,IRN,2016,96.94934902,92.49574919,98.52390604,93.39462372,85.93727628,96.03114453,,,,0.373516009,1.43,0
105,EGY,2016,99.18797298,98.93081742,99.53260429,,,,89.8283413,87.65688985,92.73844818,0.01920973,0.033543566,0
106,KEN,2016,58.89260448,48.97804824,86.95758431,,,58.08037182,26.58161381,24.1740417,33.39669159,10.28407065,13.32931454,1.663948404
107,NGA,2016,70.54093551,55.10774078,86.80914427,20.23484458,16.07942727,24.61509102,32.68097266,25.00286057,40.7745095,20.22948131,30.42912482,9.477985411
108,CAN,2017,99.22553764,98.93834549,99.29137826,98.92850562,,,,,,0,0,0
109,USA,2017,99.62581578,98.53638604,99.86402567,96.78265168,,97.17893575,,,,0,0,0
